n	x	y	u	d	l	r
0	0	0	4	99	99	1 
1	4	0	8	99	0	5 
2	5	0	9	99	4	3
3	9	0	13	99	2	99
4	0	1	99	0	99	5
5	1	1	15	99	4	6
6	2	1	16	99	5	99
7	3	1	17	99	99	8
8	4	1	99	1	7	99
9	5	1	99	2	99	10
10	6	1	20	99	9	99		
11	7	1	21	99	99	12
12	8	1	22	99	11	13
13	9	1	99	3	12	99	
14	0	2	24	99	99	15
15	1	2	99	5	14	99
16	2	2	25	6	99	17
17	3	2	99	7	16	18
18	4	2	27	99	17	19
19	5	2	28	99	18	20
20	6	2	99	16	19	21
21	7	2	30	11	20	99
22	8	2	99	12	99	23
23	9	2	31	99	22	99
24	0	3	99	14	99	25
25	2	3	39	16	24	26
26	3	3	32	99	25	27
27	4	3	99	18	26	99
28	5	3	99	19	99	29
29	6	3	33	99	28	30
30	7	3	44	21	29	31
31	9	3	99	23	30	99
32	3	4	34	26	99	33
33	6	4	37	29	32	99
34	3	5	99	32	99	35
35	4	5	41	99	34	36
36	5	5	42	99	35	37
37	6	5	99	33	36	99
38	0	6	46	99	99	39
39	2	6	47	25	40	99
40	3	6	48	99	99	41
41	4	6	99	35	40	99
42	5	6	99	36	99	43
43	6	6	51	99	42	99
44	7	6	52	30	99	45
45	9	6	53	99	44	99
46	0	7	54	38	99	47
47	2	7	55	39	46	48
48	3	7	99	40	47	49
49	4	7	56	99	48	50
50	5	7	57	99	49	51
51	6	7	99	43	50	52	
52	7	7	58	44	51	53
53	9	7	59	45	52	99
54	0	8	99	46	99	55
55	2	8	99	47	54	56
56	4	8	99	49	55	99
57	5	8	99	50	99	58	
58	7	8	99	52	57	59	
59	9	8	99	53	58	99
